Index,Factor,DB,Purp,HH,vOffset,hOffset,Dbprop
27,1827,5,7,6,29,5,20.25%
28,1828,5,8,6,30,5,17.64%
1,1851,6,1,1,3,6,8.90%
2,1852,6,1,2,4,6,14.14%
3,1853,6,1,3,5,6,10.52%
4,1854,6,1,4,6,6,10.37%
5,1855,6,1,5,7,6,13.76%
6,1856,6,2,1,8,6,5.98%
7,1857,6,2,2,9,6,12.84%
8,1858,6,2,3,10,6,5.70%
9,1859,6,2,4,11,6,9.80%
10,1860,6,2,5,12,6,10.81%
11,1861,6,3,1,13,6,1.04%
12,1862,6,3,2,14,6,3.34%
13,1863,6,3,3,15,6,1.74%
14,1864,6,3,4,16,6,2.00%
15,1865,6,3,5,17,6,3.76%
16,1866,6,4,1,18,6,2.73%
17,1867,6,4,2,19,6,5.25%
18,1868,6,4,3,20,6,2.53%
19,1869,6,4,4,21,6,4.95%
20,1870,6,4,5,22,6,6.67%
21,1871,6,5,1,23,6,4.53%
22,1872,6,5,2,24,6,7.98%
23,1873,6,5,3,25,6,4.15%
24,1874,6,5,4,26,6,6.67%
25,1875,6,5,5,27,6,8.25%
26,1876,6,6,6,28,6,8.76%
27,1877,6,7,6,29,6,9.36%
28,1878,6,8,6,30,6,7.34%
1,1901,7,1,1,3,7,4.82%
2,1902,7,1,2,4,7,10.21%
3,1903,7,1,3,5,7,4.02%
4,1904,7,1,4,6,7,7.29%
5,1905,7,1,5,7,7,11.29%
6,1906,7,2,1,8,7,3.74%
7,1907,7,2,2,9,7,10.52%
8,1908,7,2,3,10,7,10.05%
9,1909,7,2,4,11,7,11.18%
10,1910,7,2,5,12,7,13.17%
11,1911,7,3,1,13,7,0.56%
12,1912,7,3,2,14,7,1.20%
13,1913,7,3,3,15,7,0.85%
14,1914,7,3,4,16,7,1.31%
15,1915,7,3,5,17,7,1.88%
16,1916,7,4,1,18,7,1.27%
17,1917,7,4,2,19,7,3.20%
18,1918,7,4,3,20,7,1.45%
19,1919,7,4,4,21,7,3.21%
20,1920,7,4,5,22,7,4.59%
21,1921,7,5,1,23,7,3.31%
22,1922,7,5,2,24,7,5.80%
23,1923,7,5,3,25,7,2.34%
24,1924,7,5,4,26,7,4.70%
25,1925,7,5,5,27,7,6.13%
26,1926,7,6,6,28,7,9.45%
27,1927,7,7,6,29,7,9.14%
28,1928,7,8,6,30,7,5.40%
1,1951,8,1,1,3,8,1.09%
2,1952,8,1,2,4,8,3.59%
3,1953,8,1,3,5,8,1.66%
4,1954,8,1,4,6,8,2.53%
5,1955,8,1,5,7,8,4.78%
6,1956,8,2,1,8,8,2.49%
7,1957,8,2,2,9,8,4.38%
8,1958,8,2,3,10,8,2.21%
9,1959,8,2,4,11,8,4.79%
10,1960,8,2,5,12,8,6.70%
11,1961,8,3,1,13,8,0.13%
12,1962,8,3,2,14,8,0.02%
13,1963,8,3,3,15,8,0.44%
14,1964,8,3,4,16,8,0.44%
15,1965,8,3,5,17,8,0.52%
16,1966,8,4,1,18,8,0.39%
17,1967,8,4,2,19,8,0.78%
18,1968,8,4,3,20,8,0.40%
19,1969,8,4,4,21,8,0.86%
20,1970,8,4,5,22,8,1.26%
21,1971,8,5,1,23,8,1.37%
22,1972,8,5,2,24,8,1.89%
23,1973,8,5,3,25,8,0.98%
24,1974,8,5,4,26,8,2.05%
25,1975,8,5,5,27,8,2.37%
26,1976,8,6,6,28,8,4.72%
27,1977,8,7,6,29,8,3.32%
28,1978,8,8,6,30,8,1.90%
1,2001,9,1,1,3,9,1.10%
2,2002,9,1,2,4,9,1.98%
3,2003,9,1,3,5,9,0.58%
4,2004,9,1,4,6,9,1.25%
5,2005,9,1,5,7,9,2.89%
6,2006,9,2,1,8,9,2.89%
7,2007,9,2,2,9,9,3.58%
8,2008,9,2,3,10,9,4.07%
9,2009,9,2,4,11,9,3.22%
10,2010,9,2,5,12,9,6.97%
11,2011,9,3,1,13,9,0.03%
12,2012,9,3,2,14,9,0.34%
13,2013,9,3,3,15,9,0.26%
14,2014,9,3,4,16,9,0.28%
15,2015,9,3,5,17,9,0.22%
16,2016,9,4,1,18,9,0.16%
17,2017,9,4,2,19,9,0.44%
18,2018,9,4,3,20,9,0.13%
19,2019,9,4,4,21,9,0.41%
20,2020,9,4,5,22,9,0.69%
21,2021,9,5,1,23,9,0.73%
22,2022,9,5,2,24,9,1.66%
23,2023,9,5,3,25,9,0.96%
24,2024,9,5,4,26,9,1.36%
25,2025,9,5,5,27,9,1.63%
26,2026,9,6,6,28,9,4.45%
27,2027,9,7,6,29,9,3.36%
28,2028,9,8,6,30,9,1.29%
1,2051,10,1,1,3,10,0.38%
2,2052,10,1,2,4,10,0.97%
3,2053,10,1,3,5,10,0.68%
4,2054,10,1,4,6,10,0.87%
5,2055,10,1,5,7,10,1.55%
6,2056,10,2,1,8,10,3.88%
7,2057,10,2,2,9,10,7.77%
8,2058,10,2,3,10,10,2.90%
9,2059,10,2,4,11,10,5.85%
10,2060,10,2,5,12,10,9.34%
11,2061,10,3,1,13,10,0.00%
12,2062,10,3,2,14,10,0.09%
13,2063,10,3,3,15,10,0.11%
14,2064,10,3,4,16,10,0.09%
15,2065,10,3,5,17,10,0.22%
16,2066,10,4,1,18,10,0.19%
17,2067,10,4,2,19,10,0.23%
18,2068,10,4,3,20,10,0.19%
19,2069,10,4,4,21,10,0.35%
20,2070,10,4,5,22,10,0.55%
21,2071,10,5,1,23,10,0.97%
